system:time_start,LST_Day_1km
"Jul 7, 2017",
"Jul 8, 2017","14,957.308"
"Jul 9, 2017","14,895.26"
"Jul 10, 2017","14,865.648"
"Jul 11, 2017","14,901.263"
"Jul 12, 2017",
"Jul 13, 2017","14,937.746"
"Jul 14, 2017",
"Jul 15, 2017","14,906.566"
"Jul 16, 2017","14,926.046"
"Jul 17, 2017",
"Jul 18, 2017","14,760"
"Jul 19, 2017","14,823"
"Jul 20, 2017","14,888.304"
"Jul 21, 2017",
"Jul 22, 2017","14,942.826"
"Jul 23, 2017",
"Jul 24, 2017","14,923.957"
"Jul 25, 2017","14,813"
"Jul 26, 2017","14,894.486"
"Jul 27, 2017","14,928.918"
"Jul 28, 2017",
"Jul 29, 2017","14,922.968"
"Jul 30, 2017",
"Jul 31, 2017","14,862.046"
"Aug 1, 2017","14,964.046"
"Aug 2, 2017","14,950.048"
"Aug 3, 2017","14,835"
"Aug 4, 2017",
"Aug 5, 2017",
"Aug 6, 2017","14,891"
"Aug 7, 2017","14,988.484"
"Aug 8, 2017",
"Aug 9, 2017","14,467"
"Aug 10, 2017","14,838.865"
"Aug 11, 2017","15,004"
"Aug 12, 2017","14,973.692"
"Aug 13, 2017","14,944.301"
"Aug 14, 2017","14,936.913"
"Aug 15, 2017","14,899.826"
"Aug 16, 2017","14,999.479"
"Aug 17, 2017","14,958"
"Aug 18, 2017",
"Aug 19, 2017",
"Aug 20, 2017","14,752"
"Aug 21, 2017",
"Aug 22, 2017",
"Aug 23, 2017",
"Aug 24, 2017",
"Aug 25, 2017","14,995.132"
"Aug 26, 2017",
"Aug 27, 2017","14,794"
"Aug 28, 2017",
"Aug 29, 2017",
"Aug 30, 2017","14,985.258"
"Aug 31, 2017",
"Sep 1, 2017","14,735.128"
"Sep 2, 2017","14,827.829"
"Sep 3, 2017",
"Sep 4, 2017",
"Sep 5, 2017","15,069.219"
"Sep 6, 2017","14,515"
"Sep 7, 2017","14,900.779"
"Sep 8, 2017","15,158.826"
"Sep 9, 2017",
"Sep 10, 2017","15,188.055"
"Sep 11, 2017","15,085"
"Sep 12, 2017","15,089.221"
"Sep 13, 2017","15,056.395"
"Sep 14, 2017","15,062.432"
"Sep 15, 2017","15,131.217"
"Sep 16, 2017",
"Sep 17, 2017","15,168.352"
"Sep 18, 2017",
"Sep 19, 2017",
"Sep 20, 2017","14,854"
"Sep 21, 2017","14,870"
"Sep 22, 2017","14,994.085"
"Sep 23, 2017","15,029"
"Sep 24, 2017",
"Sep 25, 2017",
"Sep 26, 2017","15,183.755"
"Sep 27, 2017",
"Sep 28, 2017",
"Sep 29, 2017",
"Sep 30, 2017",
"Oct 1, 2017",
"Oct 2, 2017","14,855"
"Oct 3, 2017",
"Oct 4, 2017","15,051.263"
"Oct 5, 2017","15,153.085"
"Oct 6, 2017",
"Oct 7, 2017","15,160"
"Oct 8, 2017",
"Oct 9, 2017","14,714"
"Oct 10, 2017","15,028.429"
"Oct 11, 2017",
"Oct 12, 2017","15,249.233"
"Oct 13, 2017",
"Oct 14, 2017",
"Oct 15, 2017","15,077.909"
"Oct 16, 2017","15,068"
"Oct 17, 2017","15,366.349"
"Oct 18, 2017","15,059"
"Oct 19, 2017","15,211.221"
"Oct 20, 2017",
"Oct 21, 2017",
"Oct 22, 2017","15,181"
"Oct 23, 2017",
"Oct 24, 2017","15,201.31"
"Oct 25, 2017","14,982.733"
"Oct 26, 2017","15,380.397"
"Oct 27, 2017",
"Oct 28, 2017",
"Oct 29, 2017",
"Oct 30, 2017",
"Oct 31, 2017",
"Nov 1, 2017",
"Nov 2, 2017","15,242.002"
"Nov 3, 2017",
"Nov 4, 2017","14,925.826"
"Nov 5, 2017","14,933"
"Nov 6, 2017","14,758.287"
"Nov 7, 2017","14,998.076"
"Nov 8, 2017",
"Nov 9, 2017",
"Nov 10, 2017",
"Nov 11, 2017",
"Nov 12, 2017",
"Nov 13, 2017","15,194.037"
"Nov 14, 2017","15,221"
"Nov 15, 2017",
"Nov 16, 2017",
"Nov 17, 2017",
"Nov 18, 2017","15,337.915"
"Nov 19, 2017","15,156.74"
"Nov 20, 2017","15,377.792"
"Nov 21, 2017",
"Nov 22, 2017","15,521.33"
"Nov 23, 2017","15,420"
"Nov 24, 2017",
"Nov 25, 2017",
"Nov 26, 2017",
"Nov 27, 2017",
"Nov 28, 2017",
"Nov 29, 2017","15,186.167"
"Nov 30, 2017","15,317.915"
"Dec 1, 2017","15,441.171"
"Dec 2, 2017","15,233.774"
"Dec 3, 2017","15,122.729"
"Dec 4, 2017",
"Dec 5, 2017",
"Dec 6, 2017",
"Dec 7, 2017",
"Dec 8, 2017",
"Dec 9, 2017","14,795"
"Dec 10, 2017","15,233.614"
"Dec 11, 2017",
"Dec 12, 2017",
"Dec 13, 2017","15,410.393"
"Dec 14, 2017",
"Dec 15, 2017",
"Dec 16, 2017","15,063"
"Dec 17, 2017","15,412.571"
"Dec 18, 2017",
"Dec 19, 2017","15,242.829"
"Dec 20, 2017",
"Dec 21, 2017",
"Dec 22, 2017",
"Dec 23, 2017",
"Dec 24, 2017","15,208.039"
"Dec 25, 2017","15,206"
"Dec 26, 2017",
"Dec 27, 2017",
"Dec 28, 2017","15,216.18"
"Dec 29, 2017","15,344.085"
"Dec 30, 2017",
"Dec 31, 2017","15,400.488"
"Jan 1, 2018","14,999"
"Jan 2, 2018",
"Jan 3, 2018",
"Jan 4, 2018",
"Jan 5, 2018",
"Jan 6, 2018",
"Jan 7, 2018",
"Jan 8, 2018","15,214.436"
"Jan 9, 2018",
"Jan 10, 2018",
"Jan 11, 2018",
"Jan 12, 2018",
"Jan 13, 2018",
"Jan 14, 2018",
"Jan 15, 2018",
"Jan 16, 2018","15,422.292"
"Jan 17, 2018",
"Jan 18, 2018",
"Jan 19, 2018","15,051.123"
"Jan 20, 2018",
"Jan 21, 2018",
"Jan 22, 2018",
"Jan 23, 2018","15,059"
"Jan 24, 2018","15,266.573"
"Jan 25, 2018",
"Jan 26, 2018",
"Jan 27, 2018",
"Jan 28, 2018",
"Jan 29, 2018",
"Jan 30, 2018",
"Jan 31, 2018",
"Feb 1, 2018",
"Feb 2, 2018",
"Feb 3, 2018",
"Feb 4, 2018",
"Feb 5, 2018",
"Feb 6, 2018","15,068.785"
"Feb 7, 2018",
"Feb 8, 2018","15,177.011"
"Feb 9, 2018",
"Feb 10, 2018",
"Feb 11, 2018",
"Feb 12, 2018","14,871"
"Feb 13, 2018",
"Feb 14, 2018",
"Feb 15, 2018","15,278.26"
"Feb 16, 2018",
"Feb 17, 2018",
"Feb 18, 2018",
"Feb 19, 2018",
"Feb 20, 2018",
"Feb 21, 2018",
"Feb 22, 2018","15,130"
"Feb 23, 2018",
"Feb 24, 2018","15,323.623"
"Feb 25, 2018",
"Feb 26, 2018",
"Feb 27, 2018",
"Feb 28, 2018",
"Mar 1, 2018",
"Mar 2, 2018",
"Mar 3, 2018",
"Mar 4, 2018",
"Mar 5, 2018","15,257.733"
"Mar 6, 2018",
"Mar 7, 2018",
"Mar 8, 2018","15,241.313"
"Mar 9, 2018",
"Mar 10, 2018","15,108.648"
"Mar 11, 2018","15,064"
"Mar 12, 2018","15,055.119"
"Mar 13, 2018",
"Mar 14, 2018","15,377.705"
"Mar 15, 2018","15,266.913"
"Mar 16, 2018",
"Mar 17, 2018",
"Mar 18, 2018",
"Mar 19, 2018","15,202.349"
"Mar 20, 2018",
"Mar 21, 2018","15,224.265"
"Mar 22, 2018","15,056.525"
"Mar 23, 2018",
"Mar 24, 2018",
"Mar 25, 2018",
"Mar 26, 2018",
"Mar 27, 2018",
"Mar 28, 2018","14,873.45"
"Mar 29, 2018","14,821"
"Mar 30, 2018","15,393.05"
"Mar 31, 2018","14,840"
"Apr 1, 2018","15,126.966"
"Apr 2, 2018",
"Apr 3, 2018",
"Apr 4, 2018",
"Apr 5, 2018",
"Apr 6, 2018",
"Apr 7, 2018","14,900"
"Apr 8, 2018",
"Apr 9, 2018",
"Apr 10, 2018",
"Apr 11, 2018",
"Apr 12, 2018",
"Apr 13, 2018","15,061.785"
"Apr 14, 2018",
"Apr 15, 2018","14,963.379"
"Apr 16, 2018",
"Apr 17, 2018",
"Apr 18, 2018","15,151.655"
"Apr 19, 2018","15,030.004"
"Apr 20, 2018",
"Apr 21, 2018",
"Apr 22, 2018","15,058.529"
"Apr 23, 2018","14,893"
"Apr 24, 2018","15,058.521"
"Apr 25, 2018",
"Apr 26, 2018",
"Apr 27, 2018","15,209.61"
"Apr 28, 2018","14,987.26"
"Apr 29, 2018","14,911.564"
"Apr 30, 2018",
"May 1, 2018",
"May 2, 2018","15,023.482"
"May 3, 2018","14,933.043"
"May 4, 2018",
"May 5, 2018","14,917.783"
"May 6, 2018","15,041.18"
"May 7, 2018",
"May 8, 2018",
"May 9, 2018","14,894.657"
"May 10, 2018","15,035.432"
"May 11, 2018","14,990.993"
"May 12, 2018",
"May 13, 2018","14,996.954"
"May 14, 2018",
"May 15, 2018",
"May 16, 2018","14,862"
"May 17, 2018","14,979.217"
"May 18, 2018","14,818"
"May 19, 2018","14,815"
"May 20, 2018",
"May 21, 2018",
"May 22, 2018","15,022.354"
"May 23, 2018",
"May 24, 2018","15,039.87"
"May 25, 2018","15,024.043"
"May 26, 2018","14,981.26"
"May 27, 2018","14,936.692"
"May 28, 2018",
"May 29, 2018","14,956.998"
"May 30, 2018","14,817"
"May 31, 2018","14,987.482"
"Jun 1, 2018","14,893.087"
"Jun 2, 2018","14,990.657"
"Jun 3, 2018","15,007.174"
"Jun 4, 2018",
"Jun 5, 2018",
"Jun 6, 2018",
"Jun 7, 2018",
"Jun 8, 2018",
"Jun 9, 2018","14,882.913"
"Jun 10, 2018","14,954.219"
"Jun 11, 2018","14,810.868"
"Jun 12, 2018",
"Jun 13, 2018",
"Jun 14, 2018","14,933.217"
"Jun 15, 2018","14,806.829"
